"subject id","activity","signal name","mean","std"
1,"laying","tBodyGyroJerk X",-0.1073,-0.9186
1,"sitting","tBodyGyroJerk X",-0.0937,-0.9917
1,"standing","tBodyGyroJerk X",-0.0996,-0.9929
1,"walking","tBodyGyroJerk X",-0.09,-0.2074
1,"walking downstairs","tBodyGyroJerk X",-0.074,-0.487
1,"walking upstairs","tBodyGyroJerk X",-0.1222,-0.6148
1,"laying","tBodyGyroJerk Y",-0.0415,-0.9679
1,"sitting","tBodyGyroJerk Y",-0.0402,-0.9895
1,"standing","tBodyGyroJerk Y",-0.0441,-0.9951
1,"walking","tBodyGyroJerk Y",-0.0398,-0.3045
1,"walking downstairs","tBodyGyroJerk Y",-0.044,-0.2388
1,"walking upstairs","tBodyGyroJerk Y",-0.0421,-0.6017
1,"laying","tBodyGyroJerk Z",-0.0741,-0.9578
1,"sitting","tBodyGyroJerk Z",-0.0467,-0.9879
1,"standing","tBodyGyroJerk Z",-0.049,-0.9921
1,"walking","tBodyGyroJerk Z",-0.0461,-0.4043
1,"walking downstairs","tBodyGyroJerk Z",-0.027,-0.2688
1,"walking upstairs","tBodyGyroJerk Z",-0.0407,-0.6063
1,"laying","tBodyAccMag",-0.8419,-0.7951
1,"sitting","tBodyAccMag",-0.9485,-0.9271
1,"standing","tBodyAccMag",-0.9843,-0.9819
1,"walking","tBodyAccMag",-0.137,-0.2197
1,"walking downstairs","tBodyAccMag",0.0272,0.0199
1,"walking upstairs","tBodyAccMag",-0.1299,-0.325
1,"laying","tGravityAccMag",-0.8419,-0.7951
1,"sitting","tGravityAccMag",-0.9485,-0.9271
1,"standing","tGravityAccMag",-0.9843,-0.9819
1,"walking","tGravityAccMag",-0.137,-0.2197
1,"walking downstairs","tGravityAccMag",0.0272,0.0199
1,"walking upstairs","tGravityAccMag",-0.1299,-0.325
1,"laying","tBodyAccJerkMag",-0.9544,-0.9282
1,"sitting","tBodyAccJerkMag",-0.9874,-0.9841
1,"standing","tBodyAccJerkMag",-0.9924,-0.9931
1,"walking","tBodyAccJerkMag",-0.1414,-0.0745
1,"walking downstairs","tBodyAccJerkMag",-0.0894,-0.0258
1,"walking upstairs","tBodyAccJerkMag",-0.4665,-0.479
1,"laying","tBodyGyroMag",-0.8748,-0.819
1,"sitting","tBodyGyroMag",-0.9309,-0.9345
1,"standing","tBodyGyroMag",-0.9765,-0.9787
1,"walking","tBodyGyroMag",-0.161,-0.187
1,"walking downstairs","tBodyGyroMag",-0.0757,-0.2257
1,"walking upstairs","tBodyGyroMag",-0.1267,-0.1486
1,"laying","tBodyGyroJerkMag",-0.9635,-0.9358
1,"sitting","tBodyGyroJerkMag",-0.992,-0.9883
1,"standing","tBodyGyroJerkMag",-0.995,-0.9947
1,"walking","tBodyGyroJerkMag",-0.2987,-0.3253
1,"walking downstairs","tBodyGyroJerkMag",-0.2955,-0.3065
1,"walking upstairs","tBodyGyroJerkMag",-0.5949,-0.6486
1,"laying","fBodyAcc X",-0.9391,-0.9244
1,"sitting","fBodyAcc X",-0.9796,-0.9764
1,"standing","fBodyAcc X",-0.9952,-0.996
1,"walking","fBodyAcc X",-0.2028,-0.3191
1,"walking downstairs","fBodyAcc X",0.0382,0.0243
1,"walking upstairs","fBodyAcc X",-0.4043,-0.3374
1,"laying","fBodyAcc Y",-0.8671,-0.8336
1,"sitting","fBodyAcc Y",-0.9441,-0.9173
1,"standing","fBodyAcc Y",-0.9771,-0.9723
1,"walking","fBodyAcc Y",0.0897,0.056
1,"walking downstairs","fBodyAcc Y",0.0015,-0.113
1,"walking upstairs","fBodyAcc Y",-0.191,0.0218
1,"laying","fBodyAcc Z",-0.8827,-0.8129
1,"sitting","fBodyAcc Z",-0.9592,-0.9345
1,"standing","fBodyAcc Z",-0.9853,-0.9779
1,"walking","fBodyAcc Z",-0.3316,-0.2797
1,"walking downstairs","fBodyAcc Z",-0.2256,-0.2979
1,"walking upstairs","fBodyAcc Z",-0.4333,0.086
1,"laying","fBodyAccJerk X",-0.9571,-0.9642
1,"sitting","fBodyAccJerk X",-0.9866,-0.9875
1,"standing","fBodyAccJerk X",-0.9946,-0.9951
1,"walking","fBodyAccJerk X",-0.1705,-0.1336
1,"walking downstairs","fBodyAccJerk X",-0.0277,-0.0863
1,"walking upstairs","fBodyAccJerk X",-0.4799,-0.4619
1,"laying","fBodyAccJerk Y",-0.9225,-0.9322
1,"sitting","fBodyAccJerk Y",-0.9816,-0.9825
1,"standing","fBodyAccJerk Y",-0.9854,-0.987
1,"walking","fBodyAccJerk Y",-0.0352,0.1067
1,"walking downstairs","fBodyAccJerk Y",-0.1287,-0.1346
1,"walking upstairs","fBodyAccJerk Y",-0.4134,-0.3818
1,"laying","fBodyAccJerk Z",-0.9481,-0.9606
1,"sitting","fBodyAccJerk Z",-0.9861,-0.9883
1,"standing","fBodyAccJerk Z",-0.9908,-0.9923
1,"walking","fBodyAccJerk Z",-0.469,-0.5347
1,"walking downstairs","fBodyAccJerk Z",-0.2883,-0.4017
1,"walking upstairs","fBodyAccJerk Z",-0.6855,-0.726
1,"laying","fBodyGyro X",-0.8502,-0.8823
1,"sitting","fBodyGyro X",-0.9762,-0.9779
1,"standing","fBodyGyro X",-0.9864,-0.9875
1,"walking","fBodyGyro X",-0.339,-0.5167
1,"walking downstairs","fBodyGyro X",-0.3524,-0.4954
1,"walking upstairs","fBodyGyro X",-0.4926,-0.5659
1,"laying","fBodyGyro Y",-0.9522,-0.9512
1,"sitting","fBodyGyro Y",-0.9758,-0.9623
1,"standing","fBodyGyro Y",-0.989,-0.9871
1,"walking","fBodyGyro Y",-0.1031,-0.0335
1,"walking downstairs","fBodyGyro Y",-0.0557,-0.1814
1,"walking upstairs","fBodyGyro Y",-0.3195,0.1515
1,"laying","fBodyGyro Z",-0.9093,-0.9166
1,"sitting","fBodyGyro Z",-0.9513,-0.9439
1,"standing","fBodyGyro Z",-0.9808,-0.9823
1,"walking","fBodyGyro Z",-0.2559,-0.4366
1,"walking downstairs","fBodyGyro Z",-0.0319,-0.2384
1,"walking upstairs","fBodyGyro Z",-0.4536,-0.5717
1,"laying","fBodyAccMag",-0.8618,-0.7983
1,"sitting","fBodyAccMag",-0.9478,-0.9284
1,"standing","fBodyAccMag",-0.9854,-0.9823
1,"walking","fBodyAccMag",-0.1286,-0.398
1,"walking downstairs","fBodyAccMag",0.0966,-0.1865
1,"walking upstairs","fBodyAccMag",-0.3524,-0.4163
1,"laying","fBodyBodyAccJerkMag",-0.9333,-0.9218
1,"sitting","fBodyBodyAccJerkMag",-0.9853,-0.9816
1,"standing","fBodyBodyAccJerkMag",-0.9925,-0.9925
1,"walking","fBodyBodyAccJerkMag",-0.0571,-0.1035
1,"walking downstairs","fBodyBodyAccJerkMag",0.0262,-0.1041
1,"walking upstairs","fBodyBodyAccJerkMag",-0.4427,-0.5331
1,"laying","fBodyBodyGyroMag",-0.8622,-0.8243
1,"sitting","fBodyBodyGyroMag",-0.9584,-0.9322
1,"standing","fBodyBodyGyroMag",-0.9846,-0.9785
1,"walking","fBodyBodyGyroMag",-0.1993,-0.321
1,"walking downstairs","fBodyBodyGyroMag",-0.1857,-0.3984
1,"walking upstairs","fBodyBodyGyroMag",-0.326,-0.183
1,"laying","fBodyBodyGyroJerkMag",-0.9424,-0.9327
1,"sitting","fBodyBodyGyroJerkMag",-0.9898,-0.987
1,"standing","fBodyBodyGyroJerkMag",-0.9948,-0.9947
1,"walking","fBodyBodyGyroJerkMag",-0.3193,-0.3816
1,"walking downstairs","fBodyBodyGyroJerkMag",-0.282,-0.3919
1,"walking upstairs","fBodyBodyGyroJerkMag",-0.6347,-0.6939
2,"laying","tBodyAcc X",0.2814,-0.9741
2,"sitting","tBodyAcc X",0.2771,-0.9868
2,"standing","tBodyAcc X",0.2779,-0.9873
2,"walking","tBodyAcc X",0.2764,-0.4236
2,"walking downstairs","tBodyAcc X",0.2776,0.0464
2,"walking upstairs","tBodyAcc X",0.2472,-0.3044
2,"laying","tBodyAcc Y",-0.0182,-0.9803
2,"sitting","tBodyAcc Y",-0.0157,-0.9507
2,"standing","tBodyAcc Y",-0.0184,-0.9573
2,"walking","tBodyAcc Y",-0.0186,-0.0781
2,"walking downstairs","tBodyAcc Y",-0.0227,0.2629
2,"walking upstairs","tBodyAcc Y",-0.0214,0.108
2,"laying","tBodyAcc Z",-0.1072,-0.9842
2,"sitting","tBodyAcc Z",-0.1092,-0.9598
2,"standing","tBodyAcc Z",-0.1059,-0.9497
2,"walking","tBodyAcc Z",-0.1055,-0.4253
2,"walking downstairs","tBodyAcc Z",-0.1168,-0.1028
2,"walking upstairs","tBodyAcc Z",-0.1525,-0.1121
2,"laying","tGravityAcc X",-0.5098,-0.959
2,"sitting","tGravityAcc X",0.9405,-0.98
2,"standing","tGravityAcc X",0.8969,-0.9867
2,"walking","tGravityAcc X",0.913,-0.9727
2,"walking downstairs","tGravityAcc X",0.8618,-0.9404
2,"walking upstairs","tGravityAcc X",0.7907,-0.9344
2,"laying","tGravityAcc Y",0.7525,-0.9882
2,"sitting","tGravityAcc Y",-0.1056,-0.9568
2,"standing","tGravityAcc Y",-0.3701,-0.9742
2,"walking","tGravityAcc Y",-0.3466,-0.9721
2,"walking downstairs","tGravityAcc Y",-0.3258,-0.9401
2,"walking upstairs","tGravityAcc Y",-0.4162,-0.9238
2,"laying","tGravityAcc Z",0.6468,-0.9842
2,"sitting","tGravityAcc Z",0.1987,-0.9544
2,"standing","tGravityAcc Z",0.1297,-0.9459
2,"walking","tGravityAcc Z",0.0847,-0.9721
2,"walking downstairs","tGravityAcc Z",-0.0439,-0.9314
2,"walking upstairs","tGravityAcc Z",-0.1959,-0.878
2,"laying","tBodyAccJerk X",0.0826,-0.9859
2,"sitting","tBodyAccJerk X",0.0723,-0.9881
2,"standing","tBodyAccJerk X",0.0748,-0.9811
2,"walking","tBodyAccJerk X",0.0618,-0.2775
2,"walking downstairs","tBodyAccJerk X",0.11,0.1472
2,"walking upstairs","tBodyAccJerk X",0.0745,-0.2761
2,"laying","tBodyAccJerk Y",0.0123,-0.9832
2,"sitting","tBodyAccJerk Y",0.0117,-0.978
2,"standing","tBodyAccJerk Y",0.0103,-0.9711
2,"walking","tBodyAccJerk Y",0.0182,-0.0166
2,"walking downstairs","tBodyAccJerk Y",-0.0033,0.1268
2,"walking upstairs","tBodyAccJerk Y",-0.0097,-0.1856
2,"laying","tBodyAccJerk Z",-0.0018,-0.9884
2,"sitting","tBodyAccJerk Z",0.0076,-0.9875
2,"standing","tBodyAccJerk Z",-0.0084,-0.9828
2,"walking","tBodyAccJerk Z",0.0079,-0.5861
2,"walking downstairs","tBodyAccJerk Z",-0.0209,-0.3401
2,"walking upstairs","tBodyAccJerk Z",0.0195,-0.5737
2,"laying","tBodyGyro X",-0.0185,-0.9883
2,"sitting","tBodyGyro X",-0.0455,-0.9857
2,"standing","tBodyGyro X",-0.0239,-0.973
2,"walking","tBodyGyro X",-0.053,-0.5616
2,"walking downstairs","tBodyGyro X",-0.1159,-0.3208
2,"walking upstairs","tBodyGyro X",-0.0577,-0.4393
2,"laying","tBodyGyro Y",-0.1118,-0.9823
2,"sitting","tBodyGyro Y",-0.0599,-0.9789
2,"standing","tBodyGyro Y",-0.082,-0.9714
2,"walking","tBodyGyro Y",-0.0482,-0.5385
2,"walking downstairs","tBodyGyro Y",-0.0048,-0.4157
2,"walking upstairs","tBodyGyro Y",-0.0321,-0.4663
2,"laying","tBodyGyro Z",0.1449,-0.9603
2,"sitting","tBodyGyro Z",0.0412,-0.9598
2,"standing","tBodyGyro Z",0.0878,-0.9649
2,"walking","tBodyGyro Z",0.0828,-0.4811
2,"walking downstairs","tBodyGyro Z",0.0972,-0.2794
2,"walking upstairs","tBodyGyro Z",0.0688,-0.164
2,"laying","tBodyGyroJerk X",-0.102,-0.9932
2,"sitting","tBodyGyroJerk X",-0.0936,-0.9897
2,"standing","tBodyGyroJerk X",-0.1056,-0.9793
2,"walking","tBodyGyroJerk X",-0.0819,-0.3895
2,"walking downstairs","tBodyGyroJerk X",-0.0581,-0.2439
2,"walking upstairs","tBodyGyroJerk X",-0.0829,-0.4649
2,"laying","tBodyGyroJerk Y",-0.0359,-0.9896
2,"sitting","tBodyGyroJerk Y",-0.0416,-0.9909
2,"standing","tBodyGyroJerk Y",-0.0422,-0.9834
2,"walking","tBodyGyroJerk Y",-0.0538,-0.6341
2,"walking downstairs","tBodyGyroJerk Y",-0.0421,-0.4694
2,"walking upstairs","tBodyGyroJerk Y",-0.0424,-0.6455
2,"laying","tBodyGyroJerk Z",-0.0702,-0.988
2,"sitting","tBodyGyroJerk Z",-0.0436,-0.9855
2,"standing","tBodyGyroJerk Z",-0.0547,-0.9736
2,"walking","tBodyGyroJerk Z",-0.0515,-0.4355
2,"walking downstairs","tBodyGyroJerk Z",-0.071,-0.2183
2,"walking upstairs","tBodyGyroJerk Z",-0.0445,-0.4676
2,"laying","tBodyAccMag",-0.9774,-0.9729
2,"sitting","tBodyAccMag",-0.9679,-0.9531
2,"standing","tBodyAccMag",-0.9659,-0.9579
2,"walking","tBodyAccMag",-0.2904,-0.4225
2,"walking downstairs","tBodyAccMag",0.09,0.2156
2,"walking upstairs","tBodyAccMag",-0.1073,-0.206
2,"laying","tGravityAccMag",-0.9774,-0.9729
2,"sitting","tGravityAccMag",-0.9679,-0.9531
2,"standing","tGravityAccMag",-0.9659,-0.9579
2,"walking","tGravityAccMag",-0.2904,-0.4225
2,"walking downstairs","tGravityAccMag",0.09,0.2156
2,"walking upstairs","tGravityAccMag",-0.1073,-0.206
2,"laying","tBodyAccJerkMag",-0.9877,-0.9855
2,"sitting","tBodyAccJerkMag",-0.9868,-0.9845
2,"standing","tBodyAccJerkMag",-0.9805,-0.9767
2,"walking","tBodyAccJerkMag",-0.2814,-0.1642
2,"walking downstairs","tBodyAccJerkMag",0.0057,0.2296
2,"walking upstairs","tBodyAccJerkMag",-0.3213,-0.2174
2,"laying","tBodyGyroMag",-0.95,-0.9612
2,"sitting","tBodyGyroMag",-0.946,-0.9613
2,"standing","tBodyGyroMag",-0.9635,-0.9539
2,"walking","tBodyGyroMag",-0.4465,-0.553
2,"walking downstairs","tBodyGyroMag",-0.1622,-0.2748
2,"walking upstairs","tBodyGyroMag",-0.2197,-0.3775
2,"laying","tBodyGyroJerkMag",-0.9918,-0.9897
2,"sitting","tBodyGyroJerkMag",-0.9911,-0.9896
2,"standing","tBodyGyroJerkMag",-0.984,-0.9772
2,"walking","tBodyGyroJerkMag",-0.5479,-0.5578
2,"walking downstairs","tBodyGyroJerkMag",-0.4109,-0.3432
2,"walking upstairs","tBodyGyroJerkMag",-0.5728,-0.5973
2,"laying","fBodyAcc X",-0.9767,-0.9732
2,"sitting","fBodyAcc X",-0.9858,-0.9874
2,"standing","fBodyAcc X",-0.9839,-0.9891
2,"walking","fBodyAcc X",-0.346,-0.4577
2,"walking downstairs","fBodyAcc X",0.1128,0.0161
2,"walking upstairs","fBodyAcc X",-0.2667,-0.3206
2,"laying","fBodyAcc Y",-0.9798,-0.981
2,"sitting","fBodyAcc Y",-0.9573,-0.9501
2,"standing","fBodyAcc Y",-0.9599,-0.9579
2,"walking","fBodyAcc Y",-0.0219,-0.1692
2,"walking downstairs","fBodyAcc Y",0.2783,0.172
2,"walking upstairs","fBodyAcc Y",0.0099,0.0849
2,"laying","fBodyAcc Z",-0.9844,-0.9848
2,"sitting","fBodyAcc Z",-0.9702,-0.9569
2,"standing","fBodyAcc Z",-0.9625,-0.9464
2,"walking","fBodyAcc Z",-0.4538,-0.4552
2,"walking downstairs","fBodyAcc Z",-0.1313,-0.162
2,"walking upstairs","fBodyAcc Z",-0.281,-0.0945
2,"laying","fBodyAccJerk X",-0.9858,-0.9873
2,"sitting","fBodyAccJerk X",-0.9878,-0.9895
2,"standing","fBodyAccJerk X",-0.981,-0.983
2,"walking","fBodyAccJerk X",-0.3046,-0.3143
2,"walking downstairs","fBodyAccJerk X",0.1381,0.05
2,"walking upstairs","fBodyAccJerk X",-0.2586,-0.3654
2,"laying","fBodyAccJerk Y",-0.9828,-0.985
2,"sitting","fBodyAccJerk Y",-0.9771,-0.9808
2,"standing","fBodyAccJerk Y",-0.9709,-0.9735
2,"walking","fBodyAccJerk Y",-0.0788,-0.0153
2,"walking downstairs","fBodyAccJerk Y",0.0962,0.0808
2,"walking upstairs","fBodyAccJerk Y",-0.1878,-0.2436
2,"laying","fBodyAccJerk Z",-0.9862,-0.9893
2,"sitting","fBodyAccJerk Z",-0.9851,-0.9886
2,"standing","fBodyAccJerk Z",-0.9798,-0.9846
2,"walking","fBodyAccJerk Z",-0.555,-0.6159
2,"walking downstairs","fBodyAccJerk Z",-0.2715,-0.4082
2,"walking upstairs","fBodyAccJerk Z",-0.5227,-0.6251
2,"laying","fBodyGyro X",-0.9864,-0.9889
2,"sitting","fBodyGyro X",-0.9826,-0.9868
2,"standing","fBodyGyro X",-0.967,-0.975
2,"walking","fBodyGyro X",-0.4297,-0.6041
2,"walking downstairs","fBodyGyro X",-0.1458,-0.3794
2,"walking upstairs","fBodyGyro X",-0.3316,-0.4764
2,"laying","fBodyGyro Y",-0.9833,-0.9819
2,"sitting","fBodyGyro Y",-0.9821,-0.9774
2,"standing","fBodyGyro Y",-0.9726,-0.971
2,"walking","fBodyGyro Y",-0.5548,-0.533
2,"walking downstairs","fBodyGyro Y",-0.3619,-0.4587
2,"walking upstairs","fBodyGyro Y",-0.4881,-0.4598
2,"laying","fBodyGyro Z",-0.9627,-0.9632
2,"sitting","fBodyGyro Z",-0.9598,-0.9635
2,"standing","fBodyGyro Z",-0.9606,-0.9698
2,"walking","fBodyGyro Z",-0.3967,-0.5599
2,"walking downstairs","fBodyGyro Z",-0.0875,-0.423
2,"walking upstairs","fBodyGyro Z",-0.2486,-0.2181
2,"laying","fBodyAccMag",-0.9751,-0.9751
2,"sitting","fBodyAccMag",-0.9613,-0.9556
2,"standing","fBodyAccMag",-0.9641,-0.9605
2,"walking","fBodyAccMag",-0.3243,-0.5771
2,"walking downstairs","fBodyAccMag",0.2934,-0.0215
2,"walking upstairs","fBodyAccMag",-0.1453,-0.3667
2,"laying","fBodyBodyAccJerkMag",-0.9854,-0.9846
2,"sitting","fBodyBodyAccJerkMag",-0.9839,-0.9841
2,"standing","fBodyBodyAccJerkMag",-0.9771,-0.9752
2,"walking","fBodyBodyAccJerkMag",-0.1691,-0.1641
2,"walking downstairs","fBodyBodyAccJerkMag",0.2222,0.2275
2,"walking upstairs","fBodyBodyAccJerkMag",-0.1895,-0.2604
2,"laying","fBodyBodyGyroMag",-0.9721,-0.9611
2,"sitting","fBodyBodyGyroMag",-0.9718,-0.9614
2,"standing","fBodyBodyGyroMag",-0.9618,-0.9568
2,"walking","fBodyBodyGyroMag",-0.5307,-0.6518
2,"walking downstairs","fBodyBodyGyroMag",-0.3208,-0.3726
2,"walking upstairs","fBodyBodyGyroMag",-0.4506,-0.4386
2,"laying","fBodyBodyGyroJerkMag",-0.9902,-0.9895
2,"sitting","fBodyBodyGyroJerkMag",-0.9899,-0.9896
2,"standing","fBodyBodyGyroJerkMag",-0.9778,-0.9778
2,"walking","fBodyBodyGyroJerkMag",-0.5832,-0.5581
2,"walking downstairs","fBodyBodyGyroJerkMag",-0.3802,-0.3437
2,"walking upstairs","fBodyBodyGyroJerkMag",-0.6008,-0.6218
3,"laying","tBodyAcc X",0.2755,-0.9828
3,"sitting","tBodyAcc X",0.2572,-0.971
3,"standing","tBodyAcc X",0.28,-0.9667
3,"walking","tBodyAcc X",0.2756,-0.3604
3,"walking downstairs","tBodyAcc X",0.2924,-0.0574
3,"walking upstairs","tBodyAcc X",0.2608,-0.3131
3,"laying","tBodyAcc Y",-0.019,-0.9621
3,"sitting","tBodyAcc Y",-0.0035,-0.8566
3,"standing","tBodyAcc Y",-0.0143,-0.8934
3,"walking","tBodyAcc Y",-0.0172,-0.0699
3,"walking downstairs","tBodyAcc Y",-0.0194,-0.0332
3,"walking upstairs","tBodyAcc Y",-0.0324,0.0116
3,"laying","tBodyAcc Z",-0.1013,-0.9637
3,"sitting","tBodyAcc Z",-0.0984,-0.8751
3,"standing","tBodyAcc Z",-0.1016,-0.9114
3,"walking","tBodyAcc Z",-0.1127,-0.3874
3,"walking downstairs","tBodyAcc Z",-0.1161,-0.3622
3,"walking upstairs","tBodyAcc Z",-0.1101,-0.3698
3,"laying","tGravityAcc X",-0.2418,-0.9825
3,"sitting","tGravityAcc X",0.9011,-0.9573
3,"standing","tGravityAcc X",0.935,-0.982
3,"walking","tGravityAcc X",0.9365,-0.9778
3,"walking downstairs","tGravityAcc X",0.9391,-0.9501
3,"walking upstairs","tGravityAcc X",0.8835,-0.944
3,"laying","tGravityAcc Y",0.837,-0.9812
3,"sitting","tGravityAcc Y",0.1273,-0.9039
3,"standing","tGravityAcc Y",-0.3017,-0.9574
3,"walking","tGravityAcc Y",-0.262,-0.9624
3,"walking downstairs","tGravityAcc Y",-0.2288,-0.9461
3,"walking upstairs","tGravityAcc Y",-0.3829,-0.9098
3,"laying","tGravityAcc Z",0.4887,-0.9648
3,"sitting","tGravityAcc Z",0.139,-0.8977
3,"standing","tGravityAcc Z",0.0248,-0.9282
3,"walking","tGravityAcc Z",-0.1381,-0.9521
3,"walking downstairs","tGravityAcc Z",-0.1024,-0.8999
3,"walking upstairs","tGravityAcc Z",-0.1629,-0.9095
3,"laying","tBodyAccJerk X",0.077,-0.9809
3,"sitting","tBodyAccJerk X",0.0726,-0.9745
3,"standing","tBodyAccJerk X",0.0751,-0.9571
3,"walking","tBodyAccJerk X",0.0815,-0.2687
3,"walking downstairs","tBodyAccJerk X",0.0726,-0.0858
3,"walking upstairs","tBodyAccJerk X",0.0427,-0.4584
3,"laying","tBodyAccJerk Y",0.0138,-0.9687
3,"sitting","tBodyAccJerk Y",0.0027,-0.9536
3,"standing","tBodyAccJerk Y",0.0077,-0.9417
3,"walking","tBodyAccJerk Y",0.0101,-0.045
3,"walking downstairs","tBodyAccJerk Y",0.011,-0.1114
3,"walking upstairs","tBodyAccJerk Y",0.0397,-0.2517
3,"laying","tBodyAccJerk Z",-0.0044,-0.9821
3,"sitting","tBodyAccJerk Z",-0.0042,-0.9747
3,"standing","tBodyAccJerk Z",-0.0081,-0.9731
3,"walking","tBodyAccJerk Z",-0.0056,-0.5295
3,"walking downstairs","tBodyAccJerk Z",-0.002,-0.5717
3,"walking upstairs","tBodyAccJerk Z",0.0208,-0.7086
3,"laying","tBodyGyro X",-0.0208,-0.9745
3,"sitting","tBodyGyro X",-0.0385,-0.9654
3,"standing","tBodyGyro X",-0.0247,-0.9005
3,"walking","tBodyGyro X",-0.0256,-0.5719
3,"walking downstairs","tBodyGyro X",-0.1316,-0.2617
3,"walking upstairs","tBodyGyro X",0.0722,-0.456
3,"laying","tBodyGyro Y",-0.0719,-0.9773
3,"sitting","tBodyGyro Y",-0.0752,-0.9449
3,"standing","tBodyGyro Y",-0.0585,-0.9278
3,"walking","tBodyGyro Y",-0.0779,-0.5638
3,"walking downstairs","tBodyGyro Y",-0.0139,-0.5467
3,"walking upstairs","tBodyGyro Y",-0.1393,-0.5827
3,"laying","tBodyGyro Z",0.138,-0.9635
3,"sitting","tBodyGyro Z",0.094,-0.9264
3,"standing","tBodyGyro Z",0.0665,-0.9124
3,"walking","tBodyGyro Z",0.0813,-0.4767
3,"walking downstairs","tBodyGyro Z",0.1238,-0.4423
3,"walking upstairs","tBodyGyro Z",0.0216,-0.4923
3,"laying","tBodyGyroJerk X",-0.1,-0.9803
